"No.","Time","Source","Destination","Protocol","Length","Info"
"1234","3.923625000","10.0.128.54","255.255.255.255","UDP","1123","Source port: 1977  Destination port: 2012"
"1235","3.927968000","10.0.130.212","255.255.255.255","UDP","1186","Source port: 1977  Destination port: 2012"
"1236","3.930375000","10.0.129.169","255.255.255.255","UDP","1150","Source port: 1977  Destination port: 2012"
"1237","3.933396000","10.0.128.114","255.255.255.255","UDP","1202","Source port: 1977  Destination port: 2012"
"1239","3.936744000","10.0.130.75","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"1240","3.937392000","10.0.130.112","255.255.255.255","UDP","1187","Source port: 1977  Destination port: 2012"
"1242","3.944739000","10.0.129.59","255.255.255.255","UDP","1128","Source port: 1977  Destination port: 2012"
"1243","3.947371000","10.0.130.100","255.255.255.255","UDP","1128","Source port: 1977  Destination port: 2012"
"1244","3.947634000","10.0.130.68","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1245","3.948325000","10.0.128.21","255.255.255.255","UDP","1203","Source port: 1977  Destination port: 2012"
"1247","3.949731000","10.0.130.113","255.255.255.255","UDP","1178","Source port: 1977  Destination port: 2012"
"1248","3.949925000","10.0.130.90","255.255.255.255","UDP","1176","Source port: 1977  Destination port: 2012"
"1250","3.951602000","10.0.130.231","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"1254","3.953834000","10.0.128.73","255.255.255.255","UDP","1208","Source port: 1977  Destination port: 2012"
"1255","3.954367000","10.0.128.81","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1256","3.955739000","10.0.130.57","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1275","3.960993000","10.0.130.70","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1293","3.966002000","10.0.130.71","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1294","3.966002000","10.0.128.124","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1295","3.966863000","10.0.130.205","255.255.255.255","UDP","1171","Source port: 1977  Destination port: 2012"
"1297","3.969575000","10.0.129.164","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"1298","3.970749000","10.0.129.63","255.255.255.255","UDP","1210","Source port: 1977  Destination port: 2012"
"1299","3.970928000","10.0.130.92","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"1303","3.973793000","10.0.130.114","255.255.255.255","UDP","1178","Source port: 1977  Destination port: 2012"
"1304","3.973794000","10.0.128.174","255.255.255.255","UDP","1199","Source port: 1977  Destination port: 2012"
"1305","3.974550000","10.0.128.172","255.255.255.255","UDP","1267","Source port: 1977  Destination port: 2012"
"1306","3.976979000","10.0.130.170","255.255.255.255","UDP","1214","Source port: 1977  Destination port: 2012"
"1307","3.976979000","10.0.129.165","255.255.255.255","UDP","1222","Source port: 1977  Destination port: 2012"
"1309","3.977039000","10.0.128.99","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1310","3.977235000","10.0.130.55","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1312","3.979809000","10.0.130.4","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1313","3.980003000","10.0.128.138","255.255.255.255","UDP","1130","Source port: 1977  Destination port: 2012"
"1314","3.980658000","10.0.130.62","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1316","3.982477000","192.168.14.160","255.255.255.255","UDP","1134","Source port: 1977  Destination port: 2012"
"1317","3.982671000","10.0.128.228","255.255.255.255","UDP","1129","Source port: 1977  Destination port: 2012"
"1319","3.983196000","10.0.130.168","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1320","3.983197000","192.168.14.33","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"1321","3.984037000","10.0.130.167","255.255.255.255","UDP","1182","Source port: 1977  Destination port: 2012"
"1323","3.985315000","10.0.130.175","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"1325","3.987244000","10.0.130.59","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1328","3.989818000","10.0.130.8","255.255.255.255","UDP","1253","Source port: 1977  Destination port: 2012"
